Date,BKNG ,AMGN ,VNO ,MA ,VRTX ,HRB ,COG ,ORLY ,LLY ,CPRT ,QCOM ,BIIB ,TXN ,MCO ,V ,EBAY ,AAPL ,NKE ,MSFT ,MNST 
2019-05-17,1787.290039,167.601089,65.627266,251.93794300000002,168.729996,26.197153,25.894932,353.019989,114.70356000000001,65.599998,79.509132,229.27999900000003,105.36306,185.08187900000001,163.57959,36.486889,187.721039,83.899033,127.21208200000001,63.630001
2019-05-20,1752.22998,166.10173,64.676994,252.875656,165.729996,26.158369,26.171988,353.98999,114.92108200000001,65.360001,74.74834399999999,230.75999500000003,103.330597,183.92717,162.961517,36.150692,181.851028,82.19268000000001,125.37447399999999,63.610001000000004
2019-05-21,1772.189941,167.384079,65.166824,254.741119,169.119995,26.507403999999998,27.062527000000003,362.640015,115.26714299999999,65.940002,75.85073100000001,232.919998,105.57025900000001,186.853775,163.350296,36.170466999999995,185.33728,82.97641,126.04991899999999,63.740002000000004
2019-05-22,1745.02002,168.972183,65.803612,256.277405,172.369995,26.138979,26.320412,368.619995,116.651375,64.790001,67.61689799999999,235.039993,105.353195,189.00389099999998,163.729141,35.903492,181.54312099999999,82.539902,126.81475800000001,64.0
2019-05-23,1716.930054,169.77117900000002,65.823204,249.12475600000002,173.009995,26.391059999999996,25.340816,366.140015,115.494545,69.940002,66.592552,229.11000099999998,104.415894,183.75795,161.007599,35.54752,178.444244,81.984352,125.33474,63.23
2019-05-24,1708.47998,168.95245400000002,66.30323,250.87051400000001,171.770004,26.701317,25.429871,366.850006,115.47476999999999,70.989998,64.592636,227.059998,103.656181,184.255676,162.134109,35.725506,177.758911,81.508163,125.394333,63.419998
2019-05-28,1685.800049,166.55548100000001,65.97994200000001,252.815796,172.759995,26.274715000000004,25.429871,369.299988,114.45636699999999,71.699997,63.773151,225.539993,101.83090200000001,186.535217,163.20078999999998,35.814503,177.023911,80.555763,125.31488,62.27
2019-05-29,1685.9200440000002,166.88098100000002,65.059067,252.94547999999998,166.550003,25.722073,25.004391000000002,367.130005,114.189415,70.489998,64.153633,223.399994,102.758339,185.38050800000002,162.223816,35.695839,176.17965700000002,78.244263,124.103043,61.759997999999996
2019-05-30,1673.060059,166.742889,65.098251,253.57395899999997,170.259995,25.848114000000002,24.905441,372.309998,114.594803,71.550003,64.963348,223.77999900000003,104.031113,186.44563300000002,162.25370800000002,36.112759000000004,177.093445,78.631165,124.88775600000001,62.279999
2019-05-31,1656.219971,164.43469199999998,64.882736,250.88050800000002,166.179993,25.4506,24.757019,371.369995,114.634354,71.480003,65.187729,219.289993,102.916199,182.045792,160.828171,35.666061,173.8853,76.74099,122.85148600000001,61.860001000000004
2019-06-03,1650.459961,170.017792,65.25500500000001,241.672867,166.639999,25.789942,25.024181,374.22000099999997,115.454994,71.300003,65.03164699999999,223.36999500000002,103.764709,180.184311,158.106674,35.358337,172.127274,77.556747,119.037209,62.810001
2019-06-04,1747.030029,172.355576,65.14724,248.576096,171.270004,26.274715000000004,25.212183,374.899994,116.236099,72.370003,66.777908,227.0,107.661934,184.016754,161.825073,36.27158,178.424377,81.197823,122.334969,62.869999
2019-06-05,1765.0,172.178024,66.704887,255.63894700000003,173.270004,26.711012,25.014286,379.890015,115.702179,73.07,65.980469,226.08999599999999,108.01711999999999,185.987732,164.875549,36.291435,181.304733,82.29213,124.98709099999999,64.029999
2019-06-06,1754.859985,172.079391,66.79306,257.20513900000003,167.75,26.371671999999997,25.162708,381.049988,116.176773,73.739998,66.54162600000001,224.350006,108.71763600000001,188.048294,166.400772,36.5396,183.966614,82.023521,126.963753,63.84
2019-06-07,1778.290039,173.124969,66.979202,265.155792,173.509995,26.381363,25.172604,382.26001,117.017204,74.650002,67.624573,227.229996,109.68453999999998,189.043732,169.521057,37.234451,188.863251,82.978569,130.51976000000002,65.91999799999999
